User,Bot
"if you get sick, i'll return the favor.",thanks. see you at school tomorrow if you feel better.
you're trying to tell me something.,that didn't take long.
"but mom, all my friends use their sleeves.",that doesn't make it right.
you don't need a job. i make enough money for both of us.,that doesn't matter. i don't want to sit around.
look at the car chase on tv!,that driver is crazy.
only 15 percent of the voters turned out.,that is a joke.
"i don't know, maybe one hundred.",that is a lot of friends. do you have a best friend?
i enjoy the different types of instruments that they use.,that is a perfect reason to like a certain kind of music.
i wish it was a nicer day today.,that is true. i hope it doesn't rain.
"the weather in california is unpredictable, so you never know.",that is true. the weather is constantly changing.
who would turn in a gun for $200?,that isn't a good deal?
so?,that means it gets twice as much traffic.
it's not even noon yet.,that means it will get hotter.
"what does ""mm/dd/yy"" mean?",that means month/day/year. use numbers.
so we have to be at the airport at 10:15.,that means we have to leave the house at 9:15.
i mean i have wonderful students.,that must be nice.
"yes. when we landed, tv reporters and the army band were there.",that must have made you feel really special.
great. which one?,that one. a group of eight just sat down at it.
which one do you want?,that one. the one that's all black.
i started shopping at the dollar store.,that saves a lot of money.
i want to cruise to hawaii.,"that should be a nice trip. lots of fun, and lots of food."
i think we should really do something sometime.,that should be loads of fun.
the patch has glue. the hot iron melts the glue so the patch sticks on.,that sounds a lot easier than sewing.
i feel like chinese.,that sounds delicious.
i think we should go out to eat.,that sounds good.
eight o'clock.,that sounds great.
"no, but i did put on a few pounds.",that sounds like a dream job.
my girlfriend and i sit outside starbucks.,that sounds like a good spot.
i ate free cheese and meat every day.,that sounds like a great job.
then we went to a jazz club.,that sounds like a nice date.
i'm throwing a party on friday.,that sounds like fun.
let's go out to eat.,that sounds like fun.
maybe we can go see a movie or something.,that sounds like fun. let's do it.
i really want to go to the beach this weekend.,that sounds like fun. what's the weather going to be like?
i want to go on a cruise ship.,that sounds like fun. where do you want to go?
into the mountains.,that sounds nice.
yes. we want to have a little boy and a little girl.,that sounds wonderful.
"no, i didn't go, i've been sick.",that sucks. did you want the assignments from english class?
then i did my laundry.,that takes some time.
it was tomato soup.,that tasted so good.
my dad got to see the beautiful new world war ii monument.,that trip must have cost a lot of money.
i think stamps used to cost a penny.,that was a long time ago.
my friend stayed in a hotel on friday the thirteenth.,that was a mistake.
"just yesterday, i told her i wouldn't trade her for all the money in the world.",that was a nice thing to say.
"you should have, but have you seen any movies lately?",that was an odd change of subject.
you don't need to worry about that.,that was mean to say.
did you take some sort of art class or something?,that was my favorite class.
"i told her i had gotten the last two on the shelf, but i offered her one of mine.",that was nice of you.
"i gave her $1,000 for her birthday. i told her to spend it on herself.",that was very nice of you.
she laughed! she didn't believe me.,that wasn't very nice of her.
the league suspended him for 50 games.,that will cost him some money.
i want to get a puppy for my son.,that will make him so happy.
"yes, about $7 million.",that will teach him a good lesson.
i will knock on the doors of all the corporations.,that won't make you rich. nobody will talk to you.
you would float into the sky like a balloon.,that would be fun!
we should really hang out again.,that would be fun.
it would be nice if the weather would never change.,"that would be great, then we could plan things sooner."
that sucks. did you want the assignments from english class?,"that would be nice, thank you."
"it's the middle of summer, it shouldn't rain today.",that would be weird.
i would love it if it wasn't always so unpredictable.,that would make it easier for us to make plans.
i really hope it doesn't get cold.,"that would ruin things, i want to go so badly."
someone should set him on fire.,that would teach him a good lesson.
"in the middle of the summer, it shouldn't be raining.",that wouldn't seem right.
"well, more than 50 million people voted for mccain.",that's 50 million people who don't love obama.
today is friday the thirteenth.,that's a bad day.
i bought three pounds of potatoes for a dollar.,that's a good deal.
"well, a dozen large eggs were only 99 cents.",that's a good deal.
how about if i take shorter showers?,"that's a good idea, because showers waste a lot of water."
i don't park at a store that uses metal shopping carts.,"that's a good idea, but there was a good sale at this store."
a button is hard to find. did you look in your pant cuffs?,that's a good idea.
a family with only one baby.,that's a good idea.
i'll go up front and talk to the manager.,that's a good idea.
let's go jogging.,that's a good idea.
you should bring some wipes with you.,that's a good idea.
you should unplug the phone.,that's a good idea.
they're only $5 each.,that's a good price.
why is it so slow?,that's a good question.
"if it's old age, why don't both of your hands hurt?",that's a good question. maybe it's not old age.
i like the different instruments that they use.,that's a good reason to like something.
let's go to the beach.,that's a great idea.
you use them to wipe the handle of the shopping cart.,that's a great idea.
"yes, it does. it's only $20.",that's a great price.
they want 20 percent down.,that's a lot of money.
"this year he gave away $15,000.",that's a lot of money.
"clean the sink, the tub, the counter, and the toilet.",that's a lot of work.
i vacuumed the entire house.,that's a lot of work.
once every two months.,that's a lot.
"that's sad, but have you gone to the movies recently?",that's a switch.
how much is that?,"that's about $30,000."
"my bad, i had chores to do.",that's all right.
it's the slowest hamburger in town.,that's because they cook it while you wait.
"456 cherry drive, pasadena, ca 91170.",that's correct.
